match_id,white,black,started,ended,winner
2bc78a6c-045c-40d3-a4fd-4fe02685b4e7,GoogleGeminiProPlayer,ClaudeOpusPlayer,1714548386105,1714548603661,ClaudeOpusPlayer
3dd9f51b-2a41-4da9-863e-3aa2fd923020,OpenAiGptFourTurboPlayer,ClaudeOpusPlayer,1714548857461,1714549064050,ClaudeOpusPlayer
0d1de7f4-7032-404b-9e72-712c9f01dd66,OpenAiGptThreeDotFiveTurboPlayer,ClaudeOpusPlayer,1714549119449,1714549285820,ClaudeOpusPlayer
bcd56854-c682-4f4c-8739-857c1fa41332,ClaudeOpusPlayer,GoogleGeminiProPlayer,1714549376642,1714549523567,ClaudeOpusPlayer
e87c1d29-f7ea-4dcb-b7a0-24fc3de558e0,OpenAiGptFourTurboPlayer,GoogleGeminiProPlayer,1714549697140,1714549849820,GoogleGeminiProPlayer
ce015800-0e68-41ca-a434-613baf877f5c,OpenAiGptThreeDotFiveTurboPlayer,GoogleGeminiProPlayer,1714549879979,1714550044211,OpenAiGptThreeDotFiveTurboPlayer
f1e29ee3-e48e-4014-9884-14d969fb404a,ClaudeOpusPlayer,OpenAiGptFourTurboPlayer,1714550109106,1714550296728,ClaudeOpusPlayer
96948930-779f-4d17-8faf-7572fac09334,GoogleGeminiProPlayer,OpenAiGptFourTurboPlayer,1714550391054,1714550741022,GoogleGeminiProPlayer
2688ee4e-fd30-4745-80ae-e0ae3e4c4b50,OpenAiGptThreeDotFiveTurboPlayer,OpenAiGptFourTurboPlayer,1714550784851,1714550798762,OpenAiGptFourTurboPlayer
e34302cc-d4ef-48f5-a0ca-0e9d27769060,ClaudeOpusPlayer,OpenAiGptThreeDotFiveTurboPlayer,1714550916827,1714551117517,ClaudeOpusPlayer
4ed1cdf6-cf2f-4946-abea-6f2e3eb32f4c,GoogleGeminiProPlayer,OpenAiGptThreeDotFiveTurboPlayer,1714551277689,1714551366844,OpenAiGptThreeDotFiveTurboPlayer
7dc115e9-d6e3-44a0-ad98-ed8d94767f80,OpenAiGptFourTurboPlayer,OpenAiGptThreeDotFiveTurboPlayer,1714551431040,1714551473313,OpenAiGptFourTurboPlayer
